1967,The Big Shave,Martin Scorsese,NULL,NULL,0,NULL,1,NULL
1957,Black River,Masaki Kobayashi [小林 正樹],"Takeo Tomishima [富島 健夫] (story), Zenzō Matsuyama [松山 善三]","Fumio Watanabe [渡辺 文雄], Tatsuya Nakadai [仲代 達矢], Ineko Arima [有馬 稲子]",0,黒い河,0,NULL
1997,Funny Games,Michael Haneke,Michael Haneke,NULL,0,NULL,0,NULL
2000,Code Unknown,Michael Haneke,Michael Haneke,Juliette Binoche,0,Code inconnu,0,NULL
2001,The Piano Teacher,Michael Haneke,"Elfriede Jelinek (novel), Michael Haneke",Isabelle Huppert,0,La pianiste,0,NULL
2005,Caché,Michael Haneke,Michael Haneke,Juliette Binoche,0,NULL,0,NULL
1960,Cruel Story of Youth,Nagisa Ōshima [大島 渚],NULL,NULL,0,青春残酷物語,0,NULL
1976,In the Realm of the Senses,Nagisa Ōshima [大島 渚],NULL,NULL,0,愛のコリーダ,0,NULL
1980,Bad Timing,Nicolas Roeg,NULL,NULL,0,NULL,0,NULL
2010,Tord and Tord,Niki Lindroth von Bahr,NULL,NULL,0,NULL,1,NULL
2014,Bath House,Niki Lindroth von Bahr,NULL,NULL,0,NULL,1,NULL
2017,The Burden,Niki Lindroth von Bahr,NULL,NULL,0,NULL,1,NULL
1983,The Great Sadness of Zohara,Nina Menkes,NULL,Tinka Menkes,0,NULL,1,NULL
1991,Queen of Diamonds,Nina Menkes,Nina Menkes,Tinka Menkes,0,NULL,0,NULL
2007,Phantom Love,Nina Menkes,Nina Menkes,Marina Shoif,0,NULL,0,NULL
2010,Dissolution,Nina Menkes,Nina Menkes,Slava Bibergal,0,NULL,0,NULL
1977,House,Nobuhiko Ōbayashi [大林 宣彦],NULL,NULL,0,NULL,0,NULL
1996,The Pillow Book,Peter Greenaway,NULL,NULL,0,NULL,0,NULL
1988,The Unbearable Lightness of Being,Philip Kaufman,"Milan Kundera (novel), Jean-Claude Carrière, Philip Kaufman","Daniel Day-Lewis, Juliette Binoche, Lena Olin",0,NULL,0,NULL
1975,"Salò, or the 120 Days of Sodom",Pier Paolo Pasolini,NULL,NULL,0,NULL,0,NULL
1966,As Long as You’ve Got Your Health,Pierre Étaix,"Pierre Étaix, Jean-Claude Carrière",Pierre Étaix,0,Tant qu'on a la santé,1,NULL
1962,Happy Anniversary,"Pierre Étaix, Jean-Claude Carrière","Pierre Étaix, Jean-Claude Carrière",NULL,0,Heureux anniversaire,1,NULL
1960,Purple Noon,René Clément,"Patricia Highsmith (novel), René Clément, Paul Gégauff","Alain Delon, Marie Laforêt, Maurice Ronet",0,Plein soleil,0,NULL
1993,Dazed and Confused,Richard Linklater,Richard Linklater,"Jason London, Milla Jovovich, Anthony Rapp, Wiley Wiggins, Christin Hinojosa",0,NULL,0,Orotund 
1992,The Player,Robert Altman,Michael Tolkin,"Tim Robbins, Greta Scacchi",0,NULL,0,NULL
1967,Mouchette,Robert Bresson,NULL,NULL,0,NULL,0,NULL
1983,L’Argent,Robert Bresson,NULL,NULL,0,NULL,0,NULL
